parameter1,parameter2,criteria1,criteria2,constraint1,constraint2
49.195,98.794,147.989,23059.6,0,1
22.978,25.183,48.161,333.621,1,1
77.14,86.32,163.46,4714.16,1,1
94.312,38.728,133.04,-23231.7,1,0
88.948,19.27,108.218,-23688.9,1,0
67.663,69.418,137.081,755.795,1,1
97.894,47.368,145.262,-23057.7,1,0
13.447,66.376,79.823,13273.1,0,1
62.434,54.865,117.299,-2789.22,1,0
52.84,65.863,118.703,4856.49,1,1
17.101,81.172,98.273,19780.9,0,1
96.778,64.603,161.381,-16312.5,1,0
79.453,33.733,113.186,-16257.3,1,0
33.193,87.319,120.512,20492.1,0,1
55.405,11.701,67.106,-9213.66,1,0
56.791,61.768,118.559,1853.75,1,1
10.504,36.937,47.441,3939.58,0,1
76.951,44.812,121.763,-12294.1,1,0
23.257,71.263,94.52,14255.1,0,1
40.717,69.373,110.09,9910.9,0,1
47.701,98.38,146.081,23258,0,1
38.8,12.763,51.563,-4217.73,1,0
45.748,99.415,145.163,24474.5,0,1
36.316,65.35,101.666,9273.26,0,1
54.28,79.156,133.436,10428.1,1,1
31.222,28.558,59.78,-500.311,1,0
60.337,85.168,145.505,11350.7,1,1
83.161,96.958,180.119,7807.18,1,1
18.901,73.522,92.423,15859.5,0,1
84.277,31.474,115.751,-19201.4,1,0
75.232,98.236,173.468,12536.4,1,1
83.242,75.736,158.978,-3748.83,1,0
35.173,27.361,62.534,-1534.72,1,0
77.716,15.598,93.314,-18210.2,1,0
55.792,18.433,74.225,-8711.55,1,0
74.98,93.493,168.473,9798.44,1,1
73.981,70.948,144.929,-1380.95,1,0
63.433,76.897,140.33,5935.73,1,1
37.531,89.749,127.28,20880,0,1
42.256,81.811,124.067,15417.3,0,1
36.073,30.646,66.719,-1137.52,1,0
67.537,86.41,153.947,9127.71,1,1
15.814,17.866,33.68,217.12,1,1
50.536,81.883,132.419,13040.6,1,1
81.397,91.981,173.378,5764.93,1,1
70.525,56.629,127.154,-5550.98,1,0
90.217,20.935,111.152,-24192.9,1,0
89.533,82.558,172.091,-3770.96,1,0
38.296,67.249,105.545,9600.22,0,1
88.165,84.088,172.253,-2206.26,1,0
42.859,30.313,73.172,-2884.03,1,0
44.749,16.84,61.589,-5400.04,1,0
91.261,98.182,189.443,4119.05,1,1
83.746,28.792,112.538,-19428.9,1,0
55.099,83.17,138.269,12193.6,1,1
67.771,81.181,148.952,6275.16,1,1
13.816,92.485,106.301,26271.9,0,1
34.759,76.798,111.557,14733.3,0,1
10.351,42.472,52.823,5330.43,0,1
25.849,81.748,107.597,18895.3,0,1
34.453,86.374,120.827,19708.7,0,1
38.377,81.847,120.224,16418.4,0,1
64.477,85.078,149.555,9679.19,1,1
31.573,92.773,124.346,23907.4,0,1
19.504,19.738,39.242,28.8481,1,1
44.029,52.363,96.392,2523.74,1,1
40.051,78.778,118.829,14457.3,0,1
26.371,88.48,114.851,22409.9,0,1
44.137,67.285,111.422,8102.78,1,1
74.44,56.404,130.844,-7413.85,1,0
17.623,99.388,117.011,30056.9,0,1
94.753,21.439,116.192,-26761.7,1,0
91.873,29.521,121.394,-23779.2,1,0
55.405,59.392,114.797,1437.89,1,1
29.161,38.422,67.583,1966.28,1,1
41.149,20.782,61.931,-3962.64,1,0
24.796,36.694,61.49,2298.41,1,1
59.797,79.273,139.07,8509.09,1,1
21.781,81.379,103.16,19314.9,0,1
39.214,88.453,127.667,19748.7,0,1
91.117,73.243,164.36,-9229.28,1,0
97.984,88.345,186.329,-5642.38,1,0
19.198,24.355,43.553,705.611,1,1
43.993,20.503,64.496,-4759.55,1,0
48.817,75.61,124.427,10473.4,1,1
34.075,56.44,90.515,6359.74,1,1
74.998,28.837,103.835,-15058.1,1,0
35.056,34.039,69.095,-220.759,1,0
15.526,47.629,63.155,6369.47,0,1
50.599,34.687,85.286,-4263.36,1,0
76.06,81.748,157.808,2819.93,1,1
12.637,58.024,70.661,10075.4,0,1
18.451,62.443,80.894,11180,0,1
94.474,87.4,181.874,-4041.9,1,0
43.822,33.688,77.51,-2467.68,1,0
75.853,92.107,167.96,8576.62,1,1
64.108,73.837,137.945,4216.23,1,1
80.452,40.474,120.926,-15187.7,1,0
55.36,81.622,136.982,11301.6,1,1
18.145,61.345,79.49,10788.1,0,1
57.232,42.22,99.452,-4690.31,1,0
74.962,89.398,164.36,7454.06,1,1
61.057,67.186,128.243,2469.3,1,1
80.605,66.583,147.188,-6483.84,1,0
14.815,31.204,46.019,2369.41,0,1
58.438,48.043,106.481,-3477.33,1,0
12.961,61.084,74.045,11194.3,0,1
96.076,78.58,174.656,-9600.02,1,0
23.527,90.55,114.077,24019.9,0,1
33.148,24.517,57.665,-1563.59,1,0
81.406,66.169,147.575,-7064.19,1,0
16.624,12.682,29.306,-362.93,1,0
40.006,87.085,127.091,18797.1,0,1
10.324,52.534,62.858,8335.39,0,1
68.707,18.469,87.176,-13758.8,1,0
13.888,83.107,96.995,21092.3,0,1
50.698,46.018,96.716,-1421.98,1,0
72.505,68.923,141.428,-1591.52,1,0
13.204,20.278,33.482,744.091,1,1
35.515,75.187,110.702,13797.2,0,1
41.482,51.121,92.603,2804.19,1,1
23.239,11.611,34.85,-1273.09,1,0
69.373,19.315,88.688,-13947.2,1,0
47.359,50.068,97.427,829.16,1,1
67.033,70.507,137.54,1501.1,1,1
64.585,15.607,80.192,-12339.1,1,0
36.676,71.218,107.894,11708.3,0,1
18.298,33.85,52.148,2547.85,0,1
25.471,18.622,44.093,-948.739,1,0
76.393,51.346,127.739,-10051.5,1,0
27.1,47.449,74.549,4765.79,0,1
34.453,34.966,69.419,111.878,1,1
83.467,64.126,147.593,-8967.98,1,0
93.889,53.839,147.728,-18587.3,1,0
74.404,86.572,160.976,6153.61,1,1
29.026,15.886,44.912,-1853.99,1,0
94.87,42.265,137.135,-22663.4,1,0
74.674,64.243,138.917,-4552.3,1,0
18.748,22.033,40.781,420.865,1,1
14.32,75.781,90.101,17397.2,0,1
82.549,68.905,151.454,-6491.91,1,0
48.565,76.393,124.958,10924.4,1,1
97.291,56.863,154.154,-19578.8,1,0
10.252,22.762,33.014,1297.49,0,1
32.653,43.813,76.466,2680.91,1,1
64.108,16.921,81.029,-12011.9,1,0
48.43,55.729,104.159,2388.42,1,1
99.055,31.897,130.952,-27628.7,1,0
19.855,92.953,112.808,25905.7,0,1
42.904,84.259,127.163,16521.1,0,1
46.693,61.93,108.623,5199.61,1,1
57.322,41.563,98.885,-4895.63,1,0
94.204,31.996,126.2,-24663.5,1,0
95.815,70.12,165.935,-13394.8,1,0
44.029,10.135,54.164,-5767.44,1,0
45.91,83.746,129.656,15411.6,0,1
36.208,51.643,87.851,4259.94,1,1
60.148,33.508,93.656,-7838.26,1,0
98.506,27.568,126.074,-28096.6,1,0
46.27,88.327,134.597,17783.8,0,1
61.381,67.555,128.936,2500.87,1,1
95.257,99.811,195.068,2790.8,1,1
23.284,94.312,117.596,26240.5,0,1
88.876,90.316,179.192,810.646,1,1
54.433,31.78,86.213,-6135.48,1,0
41.743,91.135,132.878,20618.6,0,1
83.71,89.065,172.775,2906.63,1,1
32.698,45.082,77.78,3026.07,1,1
78.229,85.681,163.91,3837.32,1,1
15.211,79.435,94.646,19096.3,0,1
52.984,18.289,71.273,-7768.58,1,0
30.349,79.201,109.55,16813,0,1
59.932,47.665,107.597,-4146.56,1,0
69.877,25.606,95.483,-13279.9,1,0
65.233,73.315,138.548,3517.78,1,1
71.101,83.782,154.883,6170.31,1,1
40.87,33.526,74.396,-1716.45,1,0
50.761,21.331,72.092,-6665.42,1,0
85.015,39.637,124.652,-17770.3,1,0
11.647,39.448,51.095,4462.61,0,1
28.585,10.558,39.143,-2216.8,1,0
87.751,12.304,100.055,-23715.4,1,0
89.632,20.458,110.09,-23924.4,1,0
14.554,35.029,49.583,3189.38,0,1
96.139,76.933,173.072,-10442.7,1,0
71.632,16.3,87.932,-15285.3,1,0
52.39,91.99,144.38,17961.9,0,1
85.501,69.49,154.991,-7796.05,1,0
96.823,22.546,119.369,-27854.5,1,0
85.096,62.065,147.161,-10647.7,1,0
85.861,56.206,142.067,-13235.5,1,0
13.015,83.908,96.923,21586.4,0,1
46.9,53.785,100.685,2177.8,1,1
95.239,31.915,127.154,-25295.8,1,0
83.422,64.054,147.476,-8973.38,1,0
61.372,12.016,73.388,-11379.3,1,0
64.612,49.123,113.735,-5534.36,1,0
71.488,21.412,92.9,-14614.9,1,0
26.749,43.21,69.959,3617.84,1,1
13.618,80.065,93.683,19556.3,0,1
77.32,42.418,119.738,-13129,1,0
86.365,29.71,116.075,-20659.8,1,0
91.576,39.034,130.61,-21559.2,1,0
89.209,88.408,177.617,-446.958,1,0
51.58,41.473,93.053,-2954.63,1,0
50.473,94.609,145.082,20116.7,0,1
54.847,53.488,108.335,-462.528,1,0
78.517,91.756,170.273,7081.92,1,1
64.441,40.924,105.365,-7784.45,1,0
23.671,47.872,71.543,5439.39,0,1
62.146,42.211,104.357,-6535.63,1,0
17.056,26.767,43.823,1336.95,1,1
81.343,45.712,127.055,-14222.3,1,0
95.347,65.26,160.607,-15180.8,1,0
78.922,98.965,177.887,11201,1,1
45.325,56.242,101.567,3483.42,1,1
98.56,88.858,187.418,-5712.45,1,0
43.129,90.136,133.265,19680.2,0,1
85.06,32.338,117.398,-19444.8,1,0
78.544,36.64,115.184,-15163.4,1,0
30.979,86.185,117.164,20320.3,0,1
31.258,75.835,107.093,14997.6,0,1
96.85,66.943,163.793,-15389.3,1,0
34.759,61.291,96.05,8006.03,0,1
97.876,48.43,146.306,-22727.1,1,0
99.163,60.022,159.185,-19574.2,1,0
47.818,73.387,121.205,9736.08,1,1
43.957,86.329,130.286,17343.1,0,1
19.099,96.481,115.58,28097.8,0,1
51.589,55.198,106.787,1210.75,1,1
62.614,54.091,116.705,-3124.87,1,0
68.608,61.174,129.782,-3031.01,1,0
10.117,11.737,21.854,111.223,1,1
51.319,85.186,136.505,14523.6,1,1
91.243,29.863,121.106,-23353,1,0
78.994,79.399,158.393,201.531,1,1
16.057,10.252,26.309,-479.796,1,0
22.402,12.907,35.309,-1053.25,1,0
34.372,47.161,81.533,3275.82,1,1
64.198,32.248,96.446,-9680.66,1,0
52.759,30.538,83.297,-5814.91,1,0
49.438,90.577,140.015,18095.8,0,1
61.093,50.572,111.665,-3690.83,1,0
76.906,37.369,114.275,-14194,1,0
47.053,85.672,132.725,16102.9,0,1
82.567,99.667,182.234,9789.84,1,1
96.931,18.343,115.274,-28460.2,1,0
60.85,97.048,157.898,17956.1,1,1
77.257,12.169,89.426,-18285.8,1,0
82.234,35.668,117.902,-17248,1,0
32.032,61.237,93.269,8557.45,0,1
15.067,95.257,110.324,27793.3,0,1
28.657,27.469,56.126,-209.474,1,0
65.332,53.029,118.361,-4574.77,1,0
31.798,29.539,61.337,-435.3,1,0
42.445,41.734,84.179,-188.028,1,0
17.245,49.06,66.305,6627.17,0,1
32.311,35.506,67.817,680.706,1,1
89.632,66.394,156.026,-11390.6,1,0
62.875,36.685,99.56,-8191.63,1,0
19.234,12.61,31.844,-662.671,1,0
36.352,16.165,52.517,-3330.59,1,0
20.962,54.37,75.332,7906.42,0,1
13.213,88.219,101.432,23901.3,0,1
56.539,52.624,109.163,-1342.63,1,0
81.055,45.748,126.803,-14065,1,0
13.861,86.131,99.992,22702.5,0,1
41.005,89.686,130.691,19987.3,0,1
70.768,96.346,167.114,13428.6,1,1
99.892,92.575,192.467,-4424.25,1,0
83.053,42.337,125.39,-16039,1,0
34.309,57.466,91.775,6676.62,0,1
81.397,23.788,105.185,-19036.8,1,0
82.972,38.197,121.169,-17044.2,1,0
47.35,45.856,93.206,-437.466,1,0
64.882,56.584,121.466,-3166.49,1,0
15.634,58.411,74.045,9950.75,0,1
29.917,26.596,56.513,-589.613,1,0
69.949,33.139,103.088,-11921.3,1,0
71.983,26.497,98.48,-14072.6,1,0
42.931,53.047,95.978,3050.21,1,1
62.245,46.792,109.037,-5293.42,1,0
96.346,60.418,156.764,-17694.1,1,0
93.646,67.114,160.76,-13399.8,1,0
56.764,93.538,150.302,17364.2,1,1
26.857,96.985,123.842,27284.1,0,1
93.052,18.334,111.386,-26146,1,0
54.451,41.617,96.068,-3873.38,1,0
89.299,94.6,183.899,3062.58,1,1
69.823,93.817,163.64,12335.1,1,1
97.624,91.873,189.497,-3423.7,1,0
50.41,13.258,63.668,-7431.1,1,0
17.452,70.327,87.779,14581.1,0,1
87.031,77.41,164.441,-4970.27,1,0
60.634,26.182,86.816,-9396.46,1,0
93.907,93.565,187.472,-201.425,1,0
36.397,23.32,59.717,-2453.33,1,0
97.525,32.743,130.268,-26512,1,0
73.738,58.348,132.086,-6386.24,1,0
57.034,87.679,144.713,13932.1,1,1
51.886,41.059,92.945,-3161.43,1,0
51.832,12.106,63.938,-7979.65,1,0
16.57,63.46,80.03,11789.2,0,1
43.732,95.869,139.601,22865.7,0,1
58.06,13.555,71.615,-10013,1,0
89.686,22.852,112.538,-23629.1,1,0
95.428,97.264,192.692,1111.44,1,1
26.11,70.057,96.167,13277.2,0,1
34.768,70.309,105.077,11732.4,0,1
47.467,52.57,100.037,1603.75,1,1
86.5,98.542,185.042,7000.33,1,1
46.144,22.897,69.041,-5042.24,1,0
21.862,10.837,32.699,-1132.56,1,0
12.817,52.768,65.585,8231.56,0,1
59.185,59.851,119.036,249.059,1,1
97.615,68.248,165.863,-15302.4,1,0
58.078,49.456,107.534,-2912.75,1,0
70.354,64.648,135.002,-2420.04,1,0
70.084,14.086,84.17,-14807.4,1,0
60.517,28.144,88.661,-9017.07,1,0
74.809,17.38,92.189,-16632.6,1,0
98.164,37.414,135.578,-25875.3,1,0
14.644,81.442,96.086,20163.8,0,1
97.471,39.412,136.883,-24967.1,1,0
51.76,44.938,96.698,-2072.43,1,0
81.991,95.428,177.419,7489.49,1,1
43.48,85.303,128.783,16920.9,0,1
18.325,22.51,40.835,536.881,1,1
53.308,78.31,131.618,10338.1,1,1
32.446,69.67,102.116,11941.7,0,1
38.161,30.07,68.231,-1734.34,1,0
37.918,86.248,124.166,18852.5,0,1
36.694,65.44,102.134,9223.54,0,1
18.064,96.778,114.842,28399,0,1
36.703,68.59,105.293,10547.8,0,1
82.09,11.512,93.602,-20754.1,1,0
75.97,80.254,156.224,2102.55,1,1
96.094,47.782,143.876,-21837,1,0
61.696,93.565,155.261,15544.6,1,1
44.371,70.624,114.995,9484.35,1,1
95.671,83.53,179.201,-6835.1,1,0
66.052,96.319,162.371,15439.3,1,1
68.833,41.554,110.387,-9460.11,1,0
75.997,79.309,155.306,1615.95,1,1
19.864,98.452,118.316,29211.2,0,1
48.979,15.202,64.181,-6810.48,1,0
28.522,44.065,72.587,3544.41,1,1
58.618,22.384,81.002,-9220.66,1,0
99.514,66.682,166.196,-17142.2,1,0
19.162,36.217,55.379,2967.2,0,1
35.272,58.42,93.692,6813.43,1,1
94.897,68.41,163.307,-13589,1,0
38.674,91,129.674,21316.7,0,1
73.369,57.538,130.907,-6510.6,1,0
51.733,17.74,69.473,-7419.17,1,0
85.339,47.413,132.752,-15817.1,1,0
91.27,51.391,142.661,-17873.1,1,0
10.9,27.271,38.171,1963.17,0,1
82.945,76.906,159.851,-3032.71,1,0
96.58,59.986,156.566,-17999.4,1,0
75.358,12.736,88.094,-17331,1,0
65.188,93.88,159.068,14338.2,1,1
46.801,23.806,70.607,-5100.71,1,0
16.264,46.315,62.579,5907.96,0,1
80.488,82.594,163.082,1078.98,1,1
39.7,72.937,112.637,11761.2,0,1
41.014,34.606,75.62,-1522.33,1,0
98.515,36.856,135.371,-26222.4,1,0
82.774,71.884,154.658,-5291.15,1,0
84.394,34.507,118.901,-18634.7,1,0
46.792,69.733,116.525,8398.11,1,1
71.92,38.062,109.982,-11698.6,1,0
78.301,72.829,151.13,-2598.04,1,0
22.501,28.414,50.915,945.809,1,1
16.903,76.258,93.161,17371.7,0,1
78.4,82.261,160.661,1948.77,1,1
78.994,10.756,89.75,-19240.2,1,0
43.309,82.963,126.272,15730.6,0,1
24.562,16.741,41.303,-1014.83,1,0
29.287,62.227,91.514,9470.24,0,1
89.335,26.155,115.49,-22923.1,1,0
35.164,30.349,65.513,-991,1,0
50.761,90.847,141.608,17833.2,0,1
24.373,33.535,57.908,1666.78,1,1
62.74,98.767,161.507,18279.7,1,1
58.051,99.532,157.583,20535.7,0,1
35.677,87.139,122.816,19856,0,1
94.771,71.146,165.917,-12314.4,1,0
27.136,74.44,101.576,15095.2,0,1
89.56,34.039,123.599,-21558.7,1,0
50.698,35.137,85.835,-4196.16,1,0
73.468,86.86,160.328,6745.35,1,1
35.893,16.777,52.67,-3163.08,1,0
69.832,17.632,87.464,-14343.3,1,0
23.518,56.287,79.805,8215.67,0,1
69.859,12.853,82.712,-14812.9,1,0
72.442,62.191,134.633,-4335.78,1,0
90.37,23.212,113.582,-23963.9,1,0
53.038,14.743,67.781,-8154.55,1,0
13.915,72.946,86.861,16108.5,0,1
70.687,29.134,99.821,-13030.9,1,0
72.487,63.532,136.019,-3826.62,1,0
73.45,34.426,107.876,-13225.3,1,0
34.678,57.754,92.432,6700.89,1,1
98.866,24.238,123.104,-28861.8,1,0
81.802,49.573,131.375,-13301.8,1,0
49.375,22.438,71.813,-6077.18,1,0
93.601,42.445,136.046,-21864.1,1,0
29.224,63.433,92.657,9957.92,0,1
50.077,42.742,92.819,-2138.88,1,0
19.72,77.104,96.824,17455.2,0,1
12.772,49.339,62.111,7135.23,0,1
39.295,60.31,99.605,6575.98,1,1
62.551,49.501,112.052,-4593.88,1,0
32.23,33.634,65.864,290.513,1,1
22.456,60.085,82.541,9757.58,0,1
52.777,52.111,104.888,-219.457,1,0
23.617,83.395,107.012,20096.7,0,1
43.705,48.295,92,1326.63,1,1
41.149,42.571,83.72,374.006,1,1
29.701,80.119,109.82,17394.7,0,1
49.312,36.253,85.565,-3510.39,1,0
92.566,42.922,135.488,-21130.9,1,0
68.698,21.79,90.488,-13334.8,1,0
63.523,75.943,139.466,5441.77,1,1
21.7,40.42,62.12,3653.32,0,1
53.047,81.64,134.687,12098.6,1,1
79.759,49.51,129.269,-12284.4,1,0
99.127,99.478,198.605,219.002,1,1
89.011,31.357,120.368,-21801.7,1,0
33.112,68.635,101.747,11354.8,0,1
81.442,43.057,124.499,-15013.3,1,0
77.914,62.227,140.141,-6906.45,1,0
26.452,21.619,48.071,-729.877,1,0
10.522,57.61,68.132,10078.9,0,1
21.367,87.391,108.758,22558.6,0,1
37.729,60.679,98.408,7095.17,1,1
80.812,87.463,168.275,3516.06,1,1
60.769,16.678,77.447,-10727.6,1,0
99.253,81.469,180.722,-10097,1,0
82.621,78.13,160.751,-2268.02,1,0
21.889,35.668,57.557,2491.53,1,1
59.77,58.816,118.586,-355.412,1,0
75.178,58.897,134.075,-6857.7,1,0
58.294,31.366,89.66,-7584.95,1,0
47.422,81.406,128.828,13754.2,0,1
57.169,28.864,86.033,-7650.29,1,0
81.64,35.092,116.732,-17070.3,1,0
81.091,65.26,146.351,-7278.7,1,0
13.879,48.781,62.66,6870.54,0,1
22.87,25.246,48.116,359.158,1,1
93.349,17.776,111.125,-26383.3,1,0
75.934,74.161,150.095,-836.036,1,0
95.239,93.871,189.11,-812.738,1,0
80.848,61.669,142.517,-8587.02,1,0
75.34,30.637,105.977,-14883.3,1,0
39.799,54.397,94.196,4319.92,1,1
56.314,56.737,113.051,150.233,1,1
13.213,88.66,101.873,24146.3,0,1
72.811,61.507,134.318,-4769.98,1,0
77.194,20.233,97.427,-17434.4,1,0
10.09,34.372,44.462,3391.75,0,1
96.274,81.73,178.004,-8133.24,1,0
26.632,44.533,71.165,4002.15,0,1
46.99,30.511,77.501,-4012.25,1,0
83.323,27.037,110.36,-19514.7,1,0
45.766,43.84,89.606,-542.18,1,0
91.981,78.868,170.849,-7038.24,1,0
75.169,87.22,162.389,6147.94,1,1
72.739,23.185,95.924,-14933.3,1,0
16.057,15.256,31.313,-78.7965,1,0
43.831,45.856,89.687,570.564,1,1
59.653,57.313,116.966,-859.855,1,0
59.77,62.875,122.645,1196.36,1,1
13.141,32.581,45.722,2792.36,0,1
24.382,80.344,104.726,18411.9,0,1
99.982,81.64,181.622,-10465.6,1,0
14.716,96.256,110.972,28427.2,0,1
63.37,31.348,94.718,-9528.64,1,0
40.798,67.537,108.335,9100.47,1,1
19.027,81.289,100.316,19622,0,1
51.742,54.793,106.535,1021.14,1,1
82.297,43.723,126.02,-15271.6,1,0
33.661,57.466,91.127,6814.99,0,1
30.943,63.577,94.52,9690.45,0,1
70.66,37.009,107.669,-11382.5,1,0
68.833,14.491,83.324,-14225.1,1,0
40.033,85.654,125.687,18013.8,0,1
28.972,89.803,118.775,22698.6,0,1
48.529,32.113,80.642,-4158.9,1,0
79.552,30.088,109.64,-17037.6,1,0
12.457,79.543,92,19389.6,0,1
11.728,74.341,86.069,16930.2,0,1
42.967,32.275,75.242,-2527.37,1,0
62.857,40.933,103.79,-7148.67,1,0
89.812,71.893,161.705,-9103.05,1,0
79.39,41.554,120.944,-14376,1,0
26.686,61.687,88.373,9717.4,0,1
42.445,17.524,59.969,-4695.07,1,0
76.33,30.556,106.886,-15370.6,1,0
38.269,14.158,52.427,-3971.18,1,0
24.733,97.102,121.835,27699.7,0,1
18.649,54.775,73.424,8333.12,0,1
82.756,37.621,120.377,-17069,1,0
11.746,88.462,100.208,24151.2,0,1
59.734,48.475,108.209,-3827.48,1,0
18.55,29.368,47.918,1628.53,1,1
85.186,20.278,105.464,-21505.6,1,0
93.709,85.321,179.03,-4717.74,1,0
99.721,56.575,156.296,-21185.5,1,0
26.263,89.533,115.796,23016.6,0,1
28.468,62.821,91.289,9852.19,0,1
88.255,12.322,100.577,-23992.7,1,0
81.685,87.868,169.553,3293.48,1,1
77.014,58.015,135.029,-8059.49,1,0
18.433,15.283,33.716,-333.654,1,0
62.173,33.166,95.339,-8688.07,1,0
69.553,37.99,107.543,-10663.8,1,0
45.109,19.486,64.595,-5199.71,1,0
32.779,14.032,46.811,-2756.95,1,0
97.948,49.681,147.629,-22385.8,1,0
52.507,16.498,69.005,-7806.23,1,0
69.049,94.861,163.91,13291.6,1,1
83.944,29.935,113.879,-19322.3,1,0
80.182,83.674,163.856,1797.57,1,1
76.51,96.445,172.955,10831.8,1,1
40.375,62.146,102.521,7011.99,1,1
26.443,85.807,112.25,20934.3,0,1
31.636,98.128,129.764,27106.5,0,1
73.675,98.659,172.334,13526.4,1,1
23.311,82.108,105.419,19472.6,0,1
13.942,75.484,89.426,17289.6,0,1
72.451,40.672,113.123,-11293.8,1,0
70.642,17.56,88.202,-14708.7,1,0
50.158,93.421,143.579,19514.5,0,1
78.76,48.106,126.866,-12217.5,1,0
10.27,31.267,41.537,2739.95,0,1
21.772,69.328,91.1,13610.5,0,1
83.296,62.884,146.18,-9373.97,1,0
56.431,63.487,119.918,2658.23,1,1
13.726,90.109,103.835,24916.7,0,1
27.1,44.11,71.21,3805.35,1,1
52.255,43.543,95.798,-2621.95,1,0
87.085,41.059,128.144,-18529,1,0
41.671,60.76,102.431,6142.77,1,1
96.886,54.982,151.868,-19992.7,1,0
10.045,68.005,78.05,14211.9,0,1
87.634,39.664,127.298,-19184.1,1,0
98.677,25.444,124.121,-28556.3,1,0
14.392,48.835,63.227,6841.53,0,1
76.033,83.161,159.194,3564.87,1,1
86.941,76.312,163.253,-5451.34,1,0
71.596,98.713,170.309,14508.7,1,1
12.808,54.901,67.709,8953.77,0,1
28.765,59.239,88.004,8425.23,0,1
18.388,32.5,50.888,2256.08,0,1
49.348,35.488,84.836,-3693.97,1,0
66.61,58.771,125.381,-3087.75,1,0
36.208,20.863,57.071,-2751.26,1,0
89.83,35.047,124.877,-21492.1,1,0
71.623,86.725,158.348,7512.72,1,1
80.038,38.836,118.874,-15387,1,0
21.898,34.84,56.738,2306.88,1,1
68.5,20.575,89.075,-13411.2,1,0
17.461,72.901,90.362,15738.3,0,1
59.41,83.494,142.904,10812.4,1,1
23.23,13.519,36.749,-1121.14,1,0
59.806,84.826,144.632,11368.5,1,1
69.4,62.614,132.014,-2814.39,1,0
39.727,88.165,127.892,19461.6,0,1
21.853,15.283,37.136,-766.497,1,0
20.665,28.369,49.034,1186.76,1,1
97.948,44.443,142.391,-23934.6,1,0
77.14,34.156,111.296,-15029.2,1,0
55.306,34.147,89.453,-5946.21,1,0
59.203,84.106,143.309,11211.8,1,1
20.872,96.409,117.281,27831.5,0,1
80.11,89.938,170.048,5250.33,1,1
88.426,15.787,104.213,-23781.6,1,0
10.513,95.887,106.4,28537.6,0,1
78.688,59.923,138.611,-8171.39,1,0
79.381,91.918,171.299,6746.81,1,1
63.442,39.196,102.638,-7818.04,1,0
43.912,32.842,76.754,-2669.31,1,0
58.978,73.648,132.626,6112.36,1,1
21.007,38.008,59.015,3152,0,1
46.099,88.849,134.948,18123.9,0,1
56.377,44.047,100.424,-3890.01,1,0
33.292,33.526,66.818,49.1201,1,1
68.203,45.775,113.978,-8030.85,1,0
57.673,84.583,142.256,12026.4,1,1
29.881,35.713,65.594,1201.8,1,1
